name,realm,rating,cls,spec,play,win,lose
Axeldrion,tichondrius,1561,deathknight,unholy,58,27,31
Zukcho,tichondrius,1559,deathknight,unholy,66,28,38
Bulí,barthilas,1557,deathknight,unholy,65,27,38
Joeyxdk,tichondrius,1555,deathknight,unholy,35,19,16
Sonoftwodads,thrall,1555,deathknight,unholy,42,17,25
Drpepp,bleeding-hollow,1554,deathknight,unholy,167,88,79
Toophus,sargeras,1553,deathknight,unholy,86,41,45
Icytoast,tichondrius,1553,deathknight,unholy,42,19,23
Pue,hyjal,1553,deathknight,unholy,42,18,24
Aryêl,ragnaros,1552,deathknight,unholy,36,18,18
Gottajuice,moonrunner,1551,deathknight,unholy,81,45,36
Siphilusxo,dalaran,1551,deathknight,unholy,36,20,16
Tuicca,frostmane,1551,deathknight,unholy,91,40,51
Arc,maiev,1551,deathknight,unholy,93,39,54
Buttrfingrz,cenarius,1550,deathknight,unholy,96,46,50
Obedient,firetree,1549,deathknight,unholy,138,79,59
Kuwarerubana,proudmoore,1549,deathknight,unholy,74,41,33
Rxzo,frostmourne,1549,deathknight,unholy,48,18,30
Thenin,crushridge,1544,deathknight,unholy,60,37,23
Läskö,area-52,1541,deathknight,unholy,73,42,31
Zzdk,thrall,1541,deathknight,unholy,57,27,30
Quiet,darkspear,1539,deathknight,unholy,48,22,26
Rixin,agamaggan,1538,deathknight,unholy,66,28,38
Rhaeisxalnym,sargeras,1536,deathknight,unholy,166,84,82
Garht,azralon,1533,deathknight,unholy,40,22,18
Huuzzha,tichondrius,1533,deathknight,unholy,166,84,82
Althamon,tanaris,1533,deathknight,unholy,96,44,52
Arthyius,kiljaeden,1533,deathknight,unholy,42,19,23
Urp,aggramar,1533,deathknight,unholy,57,24,33
Telrenaur,proudmoore,1532,deathknight,unholy,72,35,37
Arktoz,tichondrius,1531,deathknight,unholy,30,16,14
Annubarak,malganis,1531,deathknight,unholy,42,19,23
Eldavò,quelthalas,1530,deathknight,unholy,78,39,39
Dialysis,emerald-dream,1530,deathknight,unholy,137,68,69
Kindaholy,malganis,1528,deathknight,unholy,23,17,6
Feej,malganis,1528,deathknight,unholy,48,26,22
Deezwaz,draka,1526,deathknight,unholy,46,25,21
Menethiljr,boulderfist,1525,deathknight,unholy,77,38,39
Nymppho,kelthuzad,1524,deathknight,unholy,403,190,213
Mehithee,kiljaeden,1524,deathknight,unholy,169,75,94
Deathboost,stormrage,1524,deathknight,unholy,60,22,38
Deathbloss,illidan,1523,deathknight,unholy,32,17,15
Tigs,proudmoore,1522,deathknight,unholy,126,65,61
Drfauci,boulderfist,1521,deathknight,unholy,42,20,22
Degrease,bonechewer,1520,deathknight,unholy,91,44,47
Hooterzqt,tichondrius,1518,deathknight,unholy,106,47,59
Grimmdreamer,stormrage,1516,deathknight,unholy,100,45,55
Unholyreap,arthas,1515,deathknight,unholy,54,36,18
Takeoverr,ragnaros,1515,deathknight,unholy,90,53,37
Deathzpeckt,tichondrius,1513,deathknight,unholy,36,17,19
Nightskull,malganis,1510,deathknight,unholy,84,45,39
Devillele,proudmoore,1509,deathknight,unholy,78,36,42
Akilol,tichondrius,1508,deathknight,unholy,54,24,30
Tragdore,thrall,1507,deathknight,unholy,49,21,28
Sandrexx,tichondrius,1506,deathknight,unholy,46,22,24
Dexarax,norgannon,1505,deathknight,unholy,87,49,38
Frostbite,the-venture-co,1505,deathknight,unholy,90,48,42
